id,meigara,code,uriagetuuki1,uriagetuuki2,riekituuki1,riekituuki2,epstuuki1,epstuuki2,uriageshihanki1,uriageshihanki2,uriageshihanki3,riekishihanki1,riekishihanki2,riekishihanki3,epsshihanki1,epsshihanki2,epsshihanki3
3513,空港施設,8864,102.65,106.24,101.38,100.63,105.77,97.51,98.27,96.88,97.1,98.07,82.69,97.21,92.02,34.64,91.84
3514,明和地所,8869,81.11,103.88,54.53,100.43,24.39,99.61,130.35,75.75,239.12,163.16,4.16,1020.33,193.75,-22.06,1808.13
3515,ゴールドクレスト,8871,104.92,77.37,139.47,61.93,140.19,79.02,465.72,41.2,14.46,1634.64,15.22,0.56,733.71,16.46,-2.82
3516,リロ・ホールディング,8876,124.78,111.28,100.04,116.33,29.07,121.26,106.41,101.89,120.82,110.43,65.56,53.11,76.49,77.98,40.51
3517,日本エスリード,8877,107.77,118.32,110.85,106.19,113.31,103.91,73.17,66.93,88.5,66.87,46.17,-0.25,66.21,47.41,-29.86
3518,日神不動産,8881,103.15,97.68,81.04,92.32,94.34,88.35,120.5,88.82,92.97,162.71,74.01,56.3,202.5,41.06,38.67
3520,日神不動産,8886,105.94,103.45,56.54,91.2,22.35,75.77,0.0,75.4,87.36,0.0,79.1,17.84,0.0,64.36,-77.8
3521,日神不動産,8887,72.17,105.79,112.83,58.43,43.43,121.86,0.0,34.6,49.85,0.0,-7.8,34.36,0.0,1.23,53.58
3523,レーサム,8890,93.84,132.24,111.39,97.18,110.53,93.76,453.14,36.39,41.55,-514.85,-4.66,-58.45,-426.17,3.66,-79.38
3524,エムジーホーム,8891,98.83,116.87,91.63,127.41,101.52,128.52,212.7,56.33,22.62,-75.93,-15.42,-31.34,9.82,381.6,-48.12
3526,新日本建物,8893,128.84,87.52,124.14,135.87,113.82,108.41,59.52,114.09,92.93,1540.0,89.89,66.77,-5.68,70.16,62.35
3529,センチュリー２１・ジャパン,8898,99.08,101.82,91.55,100.08,71.81,90.05,110.41,91.5,82.14,133.77,97.79,68.45,146.56,96.52,66.98
3530,サンウッド,8903,104.29,100.03,201.66,75.58,224.33,62.59,33.57,75.03,1223.32,-12.4,79.15,-336.49,-23.02,73.29,-225.21
3532,イオンモール,8905,103.57,108.63,114.73,107.67,102.07,109.8,96.39,91.14,65.42,86.37,66.0,16.32,96.97,28.86,-168.6
3533,イオンモール,8908,103.19,103.61,111.21,114.99,96.01,114.91,0.0,90.88,71.95,0.0,-49.11,22.55,0.0,-60.17,19.56
3535,イオンモール,8912,86.26,93.87,65.87,78.4,58.41,99.08,0.0,94.02,100.73,0.0,70.31,152.27,0.0,62.86,150.35
3538,ランド,8918,128.25,51.33,198.7,57.03,255.56,20.0,12.69,11.41,68.78,-23.5,-8.71,73.97,-28.57,-8.97,66.67
3539,やすらぎ,8919,110.6,117.56,111.17,123.46,86.26,63.64,136.65,111.02,96.51,164.08,110.82,92.22,166.44,109.96,88.45
3540,東祥,8920,126.53,112.85,135.15,109.19,144.25,106.82,70.65,70.79,40.92,28.78,30.9,-4.2,25.47,37.44,-50.76
3541,日本アセットマーケティング,8922,104.49,112.98,99.29,111.81,90.48,81.57,99.06,101.66,101.11,98.02,103.11,96.76,108.43,105.0,56.8
3543,日本アセットマーケティング,8925,134.14,138.83,-490.18,-60.07,-85.89,194.33,0.0,2303.37,8.03,0.0,-10350.0,-1.98,0.0,2039.29,-21.71
3544,日本アセットマーケティング,8927,93.13,73.47,122.99,16.31,221.54,6.23,0.0,38.14,79.18,0.0,25.27,217.02,0.0,33.21,-44.87
3545,日本アセットマーケティング,8928,95.69,110.39,94.18,110.79,96.68,56.32,0.0,157.5,76.5,0.0,581.88,48.18,0.0,670.17,38.82
3547,和田興産,8931,102.05,111.77,95.5,104.27,96.64,104.95,73.51,51.4,120.75,1.57,39.91,1040.0,-51.7,32.3,-80.54
3549,サンフロンティア不動産,8934,137.39,112.28,124.55,118.38,121.45,107.59,102.01,231.64,41.87,57.64,269.58,21.23,41.8,262.88,18.49
3550,ＦＪネクスト,8935,104.08,121.65,103.16,139.44,102.96,140.45,123.89,93.05,55.13,167.89,103.49,31.66,150.19,114.6,28.26
3551,ロジコム,8938,55.89,107.66,-44.53,90.49,-222.0,380.96,19.49,21.65,70.04,-116.67,104.6,2.48,878.72,220.72,-67.8
3552,ロジコム,8940,102.39,85.0,66.27,107.18,65.29,102.98,0.0,124.45,109.54,0.0,174.11,5.56,0.0,217.99,-35933.33
